,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0,Britney Spears,Oops!...I Did It Again,211160,0,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop
1,blink-182,All The Small Things,167066,0,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,rock
2,blink-182,All The Small Things,167066,0,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,pop
3,Faith Hill,Breathe,250546,0,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop
4,Faith Hill,Breathe,250546,0,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,country
5,Bon Jovi,It's My Life,224493,0,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock
6,Bon Jovi,It's My Life,224493,0,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,metal
7,*NSYNC,Bye Bye Bye,200560,0,2000,65,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop
8,Sisqo,Thong Song,253733,1,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,hip hop
9,Sisqo,Thong Song,253733,1,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,pop
10,Sisqo,Thong Song,253733,1,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,R&B
11,Eminem,The Real Slim Shady,284200,1,2000,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip hop
12,Robbie Williams,Rock DJ,258560,0,2000,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,pop
13,Robbie Williams,Rock DJ,258560,0,2000,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,rock
14,Destiny's Child,Say My Name,271333,0,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,pop
15,Destiny's Child,Say My Name,271333,0,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,R&B
16,Modjo,Lady - Hear Me Tonight,307153,0,2001,77,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic
17,Gigi D'Agostino,L'Amour Toujours,238759,0,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop
18,Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,0,1999,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop
19,Bomfunk MC's,Freestyler,306333,0,2000,55,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop
20,Sting,Desert Rose,285960,0,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,rock
21,Sting,Desert Rose,285960,0,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,pop
22,Melanie C,Never Be The Same Again,294200,0,1999,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,pop
23,Melanie C,Never Be The Same Again,294200,0,1999,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,Dance/Electronic
24,Aaliyah,Try Again,284000,0,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02,hip hop
25,Aaliyah,Try Again,284000,0,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02,pop
26,Aaliyah,Try Again,284000,0,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02,R&B
27,Anastacia,I'm Outta Love - Radio Edit,245400,0,1999,64,0.761,0.716,10,-5.8,0,0.056,0.396,0.0,0.0771,0.649,119.41,pop
28,Alice Deejay,Better Off Alone,214883,0,2000,73,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop
29,Gigi D'Agostino,The Riddle,285426,0,1999,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop
30,Dr. Dre,The Next Episode,161506,1,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,hip hop
31,Linkin Park,In the End,216880,0,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,rock
32,Linkin Park,In the End,216880,0,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,metal
33,Tom Jones,Sexbomb,211893,0,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,rock
34,Tom Jones,Sexbomb,211893,0,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,Folk/Acoustic
35,Tom Jones,Sexbomb,211893,0,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,easy listening
36,Sonique,It Feels So Good,240866,0,2000,62,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop
37,M.O.P.,Cold as Ice,244466,1,2000,54,0.656,0.88,11,-5.425,0,0.143,0.0421,0.0,0.294,0.758,85.565,hip hop
38,Melanie C,I Turn To You,352173,0,1999,54,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,pop
39,Melanie C,I Turn To You,352173,0,1999,54,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,Dance/Electronic
40,Limp Bizkit,Take A Look Around,321040,0,2000,72,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal
41,Darude,Sandstorm,225493,0,2001,69,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,pop
42,Darude,Sandstorm,225493,0,2001,69,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,Dance/Electronic
43,Da Brat,What'chu Like (feat. Tyrese),221160,1,2000,53,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.817,99.974,hip hop
44,Da Brat,What'chu Like (feat. Tyrese),221160,1,2000,53,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.817,99.974,pop
45,Da Brat,What'chu Like (feat. Tyrese),221160,1,2000,53,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.817,99.974,R&B
46,Moloko,The Time Is Now,318280,0,2000,54,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,pop
47,Moloko,The Time Is Now,318280,0,2000,54,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,Dance/Electronic
48,Chicane,Don't Give Up,210786,0,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
49,DMX,Party Up,268866,1,1999,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,hip hop
50,DMX,Party Up,268866,1,1999,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,pop
51,Debelah Morgan,Dance with Me,220106,0,2000,49,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,pop
52,Debelah Morgan,Dance with Me,220106,0,2000,49,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,R&B
53,Madonna,Music,225973,0,2000,58,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop
54,Ruff Endz,No More,242560,0,2000,52,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,R&B
55,Britney Spears,Born to Make You Happy,243533,0,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop
56,Montell Jordan,Get It On Tonite,276266,0,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,hip hop
57,Montell Jordan,Get It On Tonite,276266,0,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,pop
58,Montell Jordan,Get It On Tonite,276266,0,1999,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,R&B
59,Kylie Minogue,Spinning Around,207866,0,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,pop
60,Kylie Minogue,Spinning Around,207866,0,2000,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,Dance/Electronic
61,JAY-Z,Big Pimpin',283066,1,1999,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop
62,LeAnn Rimes,I Need You,229826,0,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,pop
63,LeAnn Rimes,I Need You,229826,0,2001,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,country
64,Avant,Separated,255600,0,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0.0,0.237,0.643,108.241,pop
65,Avant,Separated,255600,0,2000,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0.0,0.237,0.643,108.241,R&B
66,Enrique Iglesias,Be With You,219360,0,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,pop
67,Enrique Iglesias,Be With You,219360,0,1999,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,latin
68,Toni Braxton,He Wasn't Man Enough,261933,0,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,pop
69,Toni Braxton,He Wasn't Man Enough,261933,0,2000,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,R&B
70,Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,0,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016,hip hop
71,Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,0,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016,pop
72,Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,0,2000,36,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016,R&B
73,Dr. Dre,Forgot About Dre,222293,1,1999,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,hip hop
74,Missy Elliott,Hot Boyz,215466,1,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0.0,0.18,0.527,81.125,hip hop
75,Missy Elliott,Hot Boyz,215466,1,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0.0,0.18,0.527,81.125,pop
76,Missy Elliott,Hot Boyz,215466,1,1998,49,0.727,0.445,1,-11.241,1,0.291,0.339,0.0,0.18,0.527,81.125,R&B
77,Backstreet Boys,Show Me the Meaning of Being Lonely,234960,0,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,pop
78,Samantha Mumba,Gotta Tell You,201946,0,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,pop
79,Mýa,Case Of The Ex (Whatcha Gonna Do),236906,0,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,pop
80,Mýa,Case Of The Ex (Whatcha Gonna Do),236906,0,2000,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,R&B
81,Mary Mary,Shackles (Praise You),198346,0,2000,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,R&B
82,Next,Wifey,243666,0,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,hip hop
83,Next,Wifey,243666,0,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,pop
84,Next,Wifey,243666,0,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,R&B
85,Janet Jackson,Doesn't Really Matter,265026,0,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,pop
86,Janet Jackson,Doesn't Really Matter,265026,0,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,R&B
87,Ricky Martin,She Bangs - English Version,280626,0,2000,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,pop
88,Ricky Martin,She Bangs - English Version,280626,0,2000,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,latin
89,Jagged Edge,He Can't Love U,244053,0,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,hip hop
90,Jagged Edge,He Can't Love U,244053,0,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,pop
91,Jagged Edge,He Can't Love U,244053,0,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279,R&B
92,Sisqo,Incomplete,274226,1,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311,hip hop
93,Sisqo,Incomplete,274226,1,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311,pop
94,Sisqo,Incomplete,274226,1,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311,R&B
95,JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,1,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,hip hop
96,Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,0,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,pop
97,Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,0,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,R&B
98,Baha Men,Who Let The Dogs Out,198400,0,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,R&B
99,Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,1,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,pop
100,Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,1,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,R&B
101,LeAnn Rimes,Can't Fight The Moonlight,215506,0,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,pop
102,LeAnn Rimes,Can't Fight The Moonlight,215506,0,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,country
103,Oasis,Go Let It Out,278666,0,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,Folk/Acoustic
104,Oasis,Go Let It Out,278666,0,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,rock
105,DJ Ötzi,Hey Baby (Radio Mix),219240,0,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,pop
106,DJ Ötzi,Hey Baby (Radio Mix),219240,0,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,easy listening
107,DJ Ötzi,Hey Baby (Radio Mix),219240,0,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,Dance/Electronic
108,P!nk,Most Girls,298960,0,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
109,Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,0,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,pop
110,Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,0,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,R&B
111,Craig David,Fill Me In,257200,0,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,hip hop
112,Craig David,Fill Me In,257200,0,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,pop
113,Craig David,Fill Me In,257200,0,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,R&B
114,Christina Aguilera,I Turn to You,273706,0,1999,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,pop
115,Madonna,American Pie,273533,0,2000,58,0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036,pop
116,Red Hot Chili Peppers,Otherside,255373,0,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock
117,Sammie,I Like It,251040,0,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,hip hop
118,Sammie,I Like It,251040,0,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,pop
119,Sammie,I Like It,251040,0,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,R&B
120,Craig David,7 Days,235133,0,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,hip hop
121,Craig David,7 Days,235133,0,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,pop
122,Craig David,7 Days,235133,0,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,R&B
123,Santana,Maria Maria (feat. The Product G&B),261973,0,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,rock
124,Santana,Maria Maria (feat. The Product G&B),261973,0,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,blues
125,Santana,Maria Maria (feat. The Product G&B),261973,0,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,latin
126,Kandi,Don't Think I'm Not,243533,0,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,pop
127,Kandi,Don't Think I'm Not,243533,0,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,R&B
128,P!nk,There You Go,202800,0,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0.0,0.0452,0.668,107.908,pop
129,Vengaboys,Shalala Lala,214819,0,2000,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
130,Ronan Keating,Life Is A Rollercoaster,234826,0,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,pop
131,Ronan Keating,Life Is A Rollercoaster,234826,0,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,rock
132,Madison Avenue,Don't Call Me Baby,228140,0,1999,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
133,Destiny's Child,"Jumpin', Jumpin'",230200,0,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,pop
134,Destiny's Child,"Jumpin', Jumpin'",230200,0,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,R&B
135,Céline Dion,That's the Way It Is,241373,0,1999,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0.0,0.118,0.577,93.04,pop
136,3 Doors Down,Kryptonite,233933,0,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,pop
137,3 Doors Down,Kryptonite,233933,0,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,rock
138,3 Doors Down,Kryptonite,233933,0,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,metal
139,Carl Thomas,I Wish,226760,0,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,pop
140,Carl Thomas,I Wish,226760,0,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,R&B
141,Mystikal,Shake Ya Ass,256973,1,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,hip hop
142,Mystikal,Shake Ya Ass,256973,1,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,pop
143,Fuel,Hemorrhage (In My Hands),236866,0,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,rock
144,Fuel,Hemorrhage (In My Hands),236866,0,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,pop
145,Fuel,Hemorrhage (In My Hands),236866,0,2000,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,metal
146,Donell Jones,Where I Wanna Be,253626,0,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,pop
147,Donell Jones,Where I Wanna Be,253626,0,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,R&B
148,Savage Garden,Crash and Burn,281466,0,1999,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,pop
149,Westlife,My Love,231760,0,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0.0,0.257,0.328,144.142,pop
150,All Saints,Pure Shores,268746,0,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
151,Destiny's Child,"Independent Women, Pt. 1",221133,0,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,pop
152,Destiny's Child,"Independent Women, Pt. 1",221133,0,2001,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,R&B
153,*NSYNC,It's Gonna Be Me,191040,0,2000,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,pop
154,Erykah Badu,Bag Lady,348893,0,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181,hip hop
155,Erykah Badu,Bag Lady,348893,0,2000,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181,R&B
156,Marc Anthony,You Sang To Me,347106,0,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,pop
157,Marc Anthony,You Sang To Me,347106,0,1999,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,latin
158,Matchbox Twenty,Bent,256133,0,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,pop
159,Matchbox Twenty,Bent,256133,0,2000,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,rock
160,Gabrielle,Rise,219093,0,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,pop
161,Gabrielle,Rise,219093,0,2001,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,R&B
162,Backstreet Boys,Shape of My Heart,230093,0,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,pop
163,Creed,With Arms Wide Open,274800,0,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,pop
164,Creed,With Arms Wide Open,274800,0,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,rock
165,Creed,With Arms Wide Open,274800,0,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,metal
166,The Corrs,Breathless,207506,0,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,pop
167,The Corrs,Breathless,207506,0,2000,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,Folk/Acoustic
168,Joe,I Wanna Know,296693,0,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,pop
169,Joe,I Wanna Know,296693,0,2000,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,R&B
170,Wheatus,Teenage Dirtbag,241666,1,1999,71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set()
171,Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,0,1999,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,pop
172,Creed,Higher,316733,0,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,pop
173,Creed,Higher,316733,0,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,rock
174,Creed,Higher,316733,0,1999,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,metal
175,Britney Spears,Lucky,206226,0,2000,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
176,Nelly,Country Grammar (Hot Shit),287000,1,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,hip hop
177,Nelly,Country Grammar (Hot Shit),287000,1,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,pop
178,Nelly,Country Grammar (Hot Shit),287000,1,2000,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,R&B
179,Shaggy,It Wasn't Me,227600,0,2000,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,hip hop
180,Shaggy,It Wasn't Me,227600,0,2000,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,pop
181,Destiny's Child,Survivor,254026,0,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109,pop
182,Destiny's Child,Survivor,254026,0,2001,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109,R&B
