,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
3169,Steve Aoki,Just Hold On,198774,0,2016,63,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,pop
3170,Steve Aoki,Just Hold On,198774,0,2016,63,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,Dance/Electronic
3171,Clean Bandit,Tears (feat. Louisa Johnson),225914,0,2016,60,0.605,0.77,5,-3.645,0,0.0446,0.0431,0.0,0.159,0.298,130.037,pop
3172,Clean Bandit,Tears (feat. Louisa Johnson),225914,0,2016,60,0.605,0.77,5,-3.645,0,0.0446,0.0431,0.0,0.159,0.298,130.037,Dance/Electronic
3173,Jonas Blue,Fast Car,212424,0,2015,1,0.459,0.587,9,-6.983,1,0.0785,0.453,0.0,0.307,0.581,113.901,pop
3174,Jonas Blue,Fast Car,212424,0,2015,1,0.459,0.587,9,-6.983,1,0.0785,0.453,0.0,0.307,0.581,113.901,Dance/Electronic
3175,Flume,Never Be Like You,233337,1,2016,0,0.443,0.558,0,-5.436,1,0.0624,0.441,0.0,0.163,0.248,116.838,Dance/Electronic
3176,Bastille,Good Grief,206493,0,2016,65,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,pop
3177,Bastille,Good Grief,206493,0,2016,65,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,rock
3178,Sia,The Greatest (feat. Kendrick Lamar),210226,0,2016,68,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,pop
3179,PARTYNEXTDOOR,Not Nice,202661,0,2016,62,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06,hip hop
3180,PARTYNEXTDOOR,Not Nice,202661,0,2016,62,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06,pop
3181,PARTYNEXTDOOR,Not Nice,202661,0,2016,62,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06,R&B
3182,Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",251033,1,2016,77,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,hip hop
3183,Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",251033,1,2016,77,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,pop
3184,Hilltop Hoods,1955,239280,0,2016,63,0.766,0.5,11,-7.558,1,0.0695,0.719,5.91e-06,0.304,0.71,84.044,hip hop
3185,Hilltop Hoods,1955,239280,0,2016,63,0.766,0.5,11,-7.558,1,0.0695,0.719,5.91e-06,0.304,0.71,84.044,pop
3186,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),210573,0,2016,62,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,pop
3187,Daya,"Sit Still, Look Pretty",202221,0,2016,1,0.657,0.739,2,-4.081,1,0.274,0.141,0.0,0.178,0.543,181.994,rock
3188,Daya,"Sit Still, Look Pretty",202221,0,2016,1,0.657,0.739,2,-4.081,1,0.274,0.141,0.0,0.178,0.543,181.994,pop
3189,Daya,"Sit Still, Look Pretty",202221,0,2016,1,0.657,0.739,2,-4.081,1,0.274,0.141,0.0,0.178,0.543,181.994,Dance/Electronic
3190,Kent Jones,Don't Mind,198236,1,2016,63,0.464,0.771,8,-4.503,1,0.336,0.0235,0.0,0.063,0.69,158.777,hip hop
3191,Flume,Say It,262521,1,2016,53,0.581,0.531,3,-6.829,0,0.0322,0.0731,3.27e-06,0.0616,0.273,75.255,Dance/Electronic
3192,Bryson Tiller,Exchange,194613,1,2015,76,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,hip hop
3193,Bryson Tiller,Exchange,194613,1,2015,76,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,pop
3194,Bryson Tiller,Exchange,194613,1,2015,76,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,R&B
3195,MØ,Final Song,235826,0,2016,66,0.695,0.672,1,-6.109,0,0.0345,0.014,7.95e-05,0.0756,0.245,104.988,pop
3196,MØ,Final Song,235826,0,2016,66,0.695,0.672,1,-6.109,0,0.0345,0.014,7.95e-05,0.0756,0.245,104.988,Dance/Electronic
