,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1403,166373,73,0.529,0.967,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127
3475,194680,59,0.631,0.649,-5.892,0.0385,0.0817,3.8e-06,0.0934,0.421,93.95
986,256346,61,0.8,0.496,-7.135,0.0506,0.000298,0.0,0.0697,0.357,128.29
2420,250080,0,0.61,0.863,-2.632,0.206,0.186,0.0,0.097,0.508,83.993
1554,321293,69,0.654,0.77,-6.091,0.0353,0.00342,0.0,0.0887,0.272,137.616
224,230133,73,0.908,0.557,-4.243,0.107,0.242,0.0,0.0709,0.897,90.032
2973,271640,76,0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927
568,272533,68,0.835,0.687,-3.18,0.184,0.101,0.0,0.132,0.828,94.059
1502,334666,79,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655
1517,232000,71,0.668,0.673,-5.714,0.145,0.48,0.0,0.194,0.727,171.812
3114,237786,73,0.546,0.529,-10.511,0.0583,0.0862,6.5e-06,0.124,0.247,107.331
1269,252653,62,0.64,0.62,-5.931,0.416,0.016,0.0,0.0831,0.609,129.37
2860,200080,71,0.891,0.486,-7.803,0.159,0.0158,3.78e-06,0.0925,0.239,125.01
1043,202213,52,0.939,0.498,-10.94,0.161,0.0444,0.00128,0.0475,0.801,113.053
3413,222653,71,0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005
534,242000,47,0.38,0.725,-6.094,0.0365,0.00571,0.00015,0.3,0.202,130.581
2972,284386,75,0.824,0.733,-5.474,0.0613,0.0362,0.0,0.325,0.395,97.972
89,244053,55,0.721,0.836,-3.972,0.206,0.112,0.0,0.235,0.508,126.279
577,285570,66,0.793,0.698,-3.626,0.104,0.163,0.145,0.0745,0.339,130.017
446,227866,53,0.7,0.72,-6.061,0.0261,0.285,0.0,0.0845,0.654,106.986
2422,211880,53,0.605,0.8,-6.235,0.0545,0.155,0.0562,0.121,0.836,128.074
3101,217706,79,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017
914,238733,74,0.557,0.533,-6.817,0.0252,0.0492,0.0,0.205,0.233,143.994
928,171546,59,0.668,0.905,-5.395,0.038,0.00232,0.0331,0.141,0.667,128.658
1157,245466,69,0.893,0.823,-3.708,0.122,0.0714,0.0,0.0509,0.902,128.009
1147,238920,73,0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046
772,217733,53,0.785,0.799,-2.208,0.126,0.117,0.0,0.292,0.797,104.923
2713,224506,21,0.603,0.861,-3.565,0.0325,0.0215,0.043,0.1,0.72,127.962
2525,206120,64,0.722,0.958,-3.617,0.0912,0.00726,0.0,0.375,0.952,127.008
355,196986,69,0.51,0.48,-6.567,0.0452,0.503,0.0,0.106,0.496,182.862
2147,202266,61,0.843,0.881,-3.951,0.0581,0.14,0.0,0.0765,0.876,110.621
3130,255889,51,0.369,0.618,-6.304,0.249,0.161,0.0,0.257,0.467,191.863
1274,288360,63,0.707,0.923,-3.409,0.0276,0.0195,0.0,0.342,0.845,108.023
1196,241840,66,0.888,0.577,-7.702,0.0612,0.0986,0.0,0.131,0.609,84.003
257,452906,50,0.61,0.82,-10.029,0.0312,0.000211,0.146,0.138,0.45,127.993
275,213133,54,0.464,0.922,-8.399,0.0638,0.124,0.227,0.0546,0.695,129.078
1055,240040,59,0.838,0.594,-5.695,0.113,0.176,0.0,0.0867,0.507,90.038
3532,186231,56,0.747,0.641,-4.502,0.0925,0.25,0.00107,0.106,0.453,100.028
2017,237800,73,0.531,0.752,-6.161,0.0305,0.0421,0.0,0.12,0.103,89.917
145,236866,49,0.313,0.831,-3.894,0.0404,0.000127,0.000341,0.24,0.332,152.034
899,266040,43,0.803,0.924,-6.466,0.0391,0.237,0.0167,0.104,0.788,116.972
449,223293,49,0.855,0.681,-4.955,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699
762,206200,77,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051
1539,189693,71,0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029
500,307879,79,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97
2053,176613,54,0.504,0.814,-5.346,0.0389,0.135,1.42e-05,0.324,0.596,149.967
868,233360,66,0.828,0.792,-5.435,0.179,0.182,0.0,0.281,0.777,134.199
2785,209866,52,0.521,0.754,-4.144,0.0634,0.0373,0.0,0.239,0.352,125.876
3269,204346,1,0.779,0.787,-4.305,0.108,0.0524,0.0,0.14,0.708,124.982
3385,184732,80,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01
115,273533,58,0.631,0.734,-7.48,0.036,0.348,0.0,0.135,0.591,124.036
2097,234453,71,0.595,0.912,-3.428,0.0884,0.0434,0.0,0.259,0.762,128.024
